News ID,Category,Subcategory,Title,Abstract,URL,click,analysis
N58641,news,newscrime,"Car of Marine linked to Virginia slaying is found in South Carolina, authorities say","A car belonging to a U.S. Marine who allegedly deserted his post last month in North Carolina -- and has been on the run since being accused of murdering his mother's boyfriend in Virginia -- has been located in South Carolina, authorities said Wednesday.",https://assets.msn.com/labs/mind/BBWJUo1.html,161917.0,"- 米海兵隊員の脱走・逃亡劇というセンセーショナルな題材である
- 母親の恋人殺害という衝撃的な内容である
- 容疑者の車両が別の州で発見されたという追跡劇の展開がある
- 軍人の不祥事という人々の関心を引く題材である
- 脱走、逃亡、殺人といった犯罪性の高い話題である"
N59935,lifestyle,lifestyleroyals,Stella McCartney Deleted a Meghan Markle Instagram Post After Followers Called Her Out,Stella McCartney deleted a photo of Meghan Markle on Remembrance Day following backlash from Instagram followers.,https://assets.msn.com/labs/mind/BBWE9qh.html,155756.0,"- メーガン・マークル関連の記事は注目度が高いためPVが高かった
- ファッション関連の著名人のSNS投稿に関する記事は注目を集めやすい
- 著名人のファッションに関するマイナスイメージはPVを呼びやすい
- 記念日に関連した著名人の不適切な投稿は物議を醸しやすい
- SNS上での著名人の失敗は拡散しやすくPVが高まる"
N98178,sports,football_nfl,"Charles Rogers, former Michigan State football, Detroit Lions star, dead at 38","Charles Rogers, the former Michigan State football star whom the Detroit Lions selected with the second overall pick in 2003 NFL draft, has died.",https://assets.msn.com/labs/mind/BBWAPO6.html,260330.0,"- NFL選手の死亡という注目度の高い題材
- 元高校・大学のスター選手のその後の人生が注目される
- 2003年ドラフト2位指名の期待の星だったが、ケガとドラッグで活躍できず、その落差が話題になる
- 対象地域のファンにとっては思い入れのある選手の訃報
- 選手の才能と人生の行方をめぐる議論を呼びそう"
N72609,lifestyle,lifestylecelebstyle,Jennifer Lopez Debuted the Sleek Seasonal Bob You'll Want to Copy,*calling my hair stylist*,https://assets.msn.com/labs/mind/BBWEF0P.html,178433.0,"- Jennifer Lopezは世界的に著名な歌手であり、彼女のファッションは注目を集めている。彼女のヘアスタイルの変更は多くのファンにとって関心の的となる。
- 「Sleek Seasonal Bob」という見出しはトレンド感があり、多くの女性が真似したくなるヘアスタイルだと示唆している。
- 抜粋は読者の興味を引くのに効果的である。
- 同様に著名人のヘアスタイルの変更に関する記事は注目度が高いと考えられる。"
N88472,tv,tvnews,Lisa Vanderpump Reveals Why She Left RHOBH: 'I Don't Have Room in My Life for Nastiness',Lisa Vanderpump Reveals Why She Left RHOBH,https://assets.msn.com/labs/mind/BBWHBHb.html,182687.0,"- リアリティ番組の著名人の出演や降板に関する記事は注目度が高い。同様のリアリティ番組の出演者の番組参加や降板に関する記事を作成する。
- ゴシップ性のある著名人の私生活に関する記事はPVが高い。同様の著名人のプライベートに関する記事を作成する。  
- 著名人のスキャンダルや疑惑に関する記事は注目を集める。同様の著名人のスキャンダル記事を作成する。
- 著名人の告白や裏話に関する記事は人気がある。同様の著名人の内幕告発型の記事を作成する。"
N125945,tv,tvnews,"Tamron Hall Talks Leaving the Today Show, Jokes About Megyn Kelly's Reported Multimillion Payout",Tamron Hall Talks Losing the Today Show,https://assets.msn.com/labs/mind/BBWAYKc.html,153886.0,"- タイトルに有名人の名前(Tamron Hall)が含まれているため注目を集めやすい。有名人の名前をタイトルに含めることでPVを高められる。
- タイトルに「Today Show」という有名なテレビ番組の名前が含まれている。有名番組に関する記事は注目されやすい。
- タイトルに「Megyn Kelly」ともう一人の有名人の名前が含まれている。複数の有名人が絡む記事は注目されやすい。
- タイトルに「Multimillion Payout」といった金銭的なキーワードが含まれている。お金に関する記事は注目されやすい。
- タイトルが長くストーリ性がある。長いセンセーショナルなタイトルは注目されやすい。"
N29441,music,musicnews,Kiss Cancel 'End of the Road' Tour of Australia and New Zealand Due to Illness,Kiss won't be playing Australia and NZ after all.,https://assets.msn.com/labs/mind/BBWKJcB.html,173532.0,"- Kissは有名なロックバンドであるため、彼らのコンサートツアーに関するニュースは注目を集めやすい
- コンサートツアーの中止というネガティブな内容であるため、ファンの関心を引く
- オーストラリアとニュージーランドのKissファンに直接影響する出来事である
- 病気という人間的な要因による中止であるため、ファンの同情を引き出す
- 長年の活動に終止符を打つ「End of the Road」ツアーの一部が中止になるという象徴的な出来事
- 著名人のコンサートツアー中止に関するニュースは注目されやすい"
N1923,autos,autosmotorcycles,"The Volkspod VW Beetle Minibikes Are Part Creepy, Part Adorable",The people's pods.,https://assets.msn.com/labs/mind/BBWHJTi.html,153329.0,"- ビートルという人気の高いクラシックカーを題材にしている
- ミニバイクという変わったアレンジをしているので注目されやすい
- 見た目がかわいらしくてクリーピーというトピックのギャップがある
- 著名人や有名ブランドを題材にした記事で再現可能"
N48015,video,animals,Abandoned 'unicorn' puppy has a tail on its head,Abandoned 'unicorn' puppy has a tail on its head,https://assets.msn.com/labs/mind/BBWHLBa.html,154475.0,"- ユニークな動物の特徴をタイトルに使うことで注目を集めている。同様に珍しい動物の特徴をタイトルに使えば再現できる。
- 動物の可愛らしさに注目が集まっている。同様にかわいい動物の画像や動画を使えば再現できる。
- ユニコーンというファンタジー的な言葉を使うことで想像力を掻き立てている。同様にファンタジー的な言葉を使えば再現できる。"
N51163,lifestyle,lifestylebuzz,Family told to take down Christmas display because it's too soon to decorate,A Texas couple was told by their homeowners association to pump the brakes on their Christmas cheer.,https://assets.msn.com/labs/mind/BBWKQkg.html,200385.0,"- クリスマス関連の話題は人々の関心を引く
- 家主組合 vs 住人の対立構造は注目されやすい
- クリスマスデコレーションを制限するのは異例なので驚きを引き起こす
- クリスマスシーズンの始まりに関する議論は注目されやすい
- 住人のクリスマスへの熱意と家主組合の制限の対比が注目される"
N84137,lifestyle,lifestylepetsanimals,Why Do Cats Meow?,"Cats scratch, purr, and sleep, but haven't you always wondered, ""why do cats meow""?",https://assets.msn.com/labs/mind/BBWtPfC.html,158527.0,"- タイトルに「Why」という疑問形を用い、猫の行動の理由を探るという人の興味を引く題材
- 「meow」という猫の鳴き声をタイトルに用い、親しみやすさを出している
- 猫の行動の中でも「鳴く」という謎めいた行動に焦点を当てている
- 猫は人気のあるペットなので、猫に関する記事は注目されやすい
- 記事の内容が簡潔で分かりやすく書かれている"
N24701,music,music-celebrity,Kodak Black Sentenced to Over 3 Years in Prison in Weapons Case,Rapper Kodak Black has been sentenced to more than three years in federal prison after pleading guilty to weapons charges stemming from his arrest just before a scheduled concert performance in May.,https://assets.msn.com/labs/mind/BBWHNV4.html,173528.0,"- 有名ラッパーの不祥事という注目度の高い題材
- 3年以上の実刑判決というインパクトのある内容
- コンサート前の逮捕というショッキングな経緯
- 武器所持の重罪というセンセーショナルな事案
- 有名人の刑事事件は関心が高く再現しやすい"
N24150,travel,travelnews,Flight Attendants Have a Secret Language You Didn't Know About,Here are some phrases only flight attendant use   and what they actually mean.,https://assets.msn.com/labs/mind/BBWvCEe.html,166974.0,"- 航空業界の裏側や秘密に関する内容である。航空業界以外の業界の裏側や秘密を扱った記事でも同様の注目を集められる可能性がある。
- 職業上の隠語という珍しい内容である。他の職業の隠語を扱った記事でも注目を集められるだろう。
- スチュワーデスという人気の高い職業に関する記事である。看護師やパイロットなど、人気の高い職業の裏側を扱った記事で再現できる。
- 読者が知らないことを教えてくれる記事である。読者の知らない事柄を扱った記事なら同様に注目を集められる。"
N25751,weather,weathertopstories,This Arctic blast is in its final day. But the cold isn't over quite yet,The hundreds of millions of people gripped by the Arctic blast can begin to peel off a layer or two of clothing starting Thursday.,https://assets.msn.com/labs/mind/BBWKjCt.html,160529.0,"- 気象関連の記事は多くの人に関心があるためPVが高い。特に異常気象は注目を集める。同様の異常気象の記事を作成することでPVを高められる。
- 記事のタイトルがキャッチーでPVを高めている。似たようなキャッチーなタイトルの記事を作ることが再現の鍵。
- 記事の内容が多くの人に関係のある一般的な話題である。同じように多くの人に関心のある話題の記事を作ればPVを高められる。"
N109642,news,newsphotos,Eerie photos of an abandoned airport that hasn't been touched in 25 years,"The airport in Abkhazia   a disputed region of Georgia   was built in the 1960s, but was abandoned after a violent war in the early 1900s.",https://assets.msn.com/labs/mind/BBWvPFd.html,174023.0,"- 過去の栄華が失われた場所の写真は人々の想像力を掻き立てる
- 政治的紛争の結果として放置された空港という設定はミステリアス
- 25年間手つかずのままという長期にわたる放置ぶりが印象的
- 風化し放置された過去の建造物の写真には郷愁を誘う魅力がある"
N19455,entertainment,celebrity,"Week in celebrity photos for Nov. 11-15, 2019","Week in celebrity photos for Nov. 11-15, 2019",https://assets.msn.com/labs/mind/BBWB9Xe.html,155297.0,"- タイトルに「セレブリティ」とあるので、著名人に関する記事であることがわかる。
- 具体的なセレブリティの名前がタイトルにないので、複数のセレブリティに関する記事と予想できる。
- 日付がタイトルにあるので、最新の出来事に関する記事と思われる。
- セレブリティの写真が含まれていると予想できる。
- 著名人のプライベートな写真は注目度が高い。
- 同様の注目度の高い記事を再現するには、最新のセレブリティの写真やゴシップ記事にする。"
N76665,lifestyle,lifestyleroyals,Prince Harry and Meghan Markle just shared a never-before-seen photo of baby Archie with his 'Grandpa' Prince Charles to celebrate his birthday,"The Duke and Duchess of Sussex shared a new photo of Archie, Harry, and Charles to mark the Prince of Wales' 71st birthday on Thursday.",https://assets.msn.com/labs/mind/BBWKtBU.html,221238.0,"- 英国王室関連の記事であるため、王室ファンの注目を集めやすい。同様の王室関連の記事を作成することでPVを獲得できる。
- 有名人の私的な写真が公開されているため、人々の興味を引く。他のセレブのプライベート写真を掲載する記事を作ればPVを稼げる。
- 赤ちゃんの写真が含まれており、親しみやすさと話題性がある。他の有名人の赤ちゃん写真を使った記事でもPVを稼げそう。
- イギリスの著名人が登場するため、イギリスに関心のある読者に訴求力がある。イギリス人有名人を扱った記事ならPVを獲得できる。"
N84430,finance,finance-retirement,The 1 reason you shouldn't hesitate to claim Social Security early,"Seniors are often told to wait on Social Security, but here's a good argument for filing sooner.",https://assets.msn.com/labs/mind/BBWKwml.html,180910.0,"- タイトルに「早期申請」というキーワードがある。早期申請のメリットを強調した記事で再現可能。
- 「ためらうべきでない」という断定的な表現を使っている。はっきりとした主張を打ち出した記事で再現可能。
- 「1つの理由」と数え上げ式の表現を使っている。具体的な理由を列挙した記事で再現可能。
- 社会保障という多くの高齢者に関心のある話題を扱っている。高齢者の関心事をテーマにした記事で再現可能。"
N2750,news,newsus,Man cuffed for eating sandwich on train platform gets an apology,Bay Area Rapid Transit was slammed for its handling of a man who was handcuffed and cited for eating a sandwich,https://assets.msn.com/labs/mind/BBWBDWu.html,164043.0,"- 公共の場所でのちょっとした違反行為が大げさに扱われたという内容で、読者の共感を呼びやすい
- 公共交通機関に関するニュースで、多くの人が関心を持ちそう
- 警察の過剰な対応に対する批判的な論調で、議論を呼びそう
- 身近な食事のマナーに関するもので、読者が自分事として捉えやすい
- タイトルがインパクトがあり、読者の興味を引き付ける"
N30899,news,newsus,College gymnast dies following training accident in Connecticut,"Melanie Coleman, 20, of Milford, was practicing on the bars when she suffered a spinal cord injury.",https://assets.msn.com/labs/mind/BBWBKRg.html,216161.0,"- ジムナストの死亡というショッキングな出来事を題材にしている。ショッキングな出来事を扱った記事でPVを獲得できる。
- 著名大学の学生の訃報というローカル性のある話題を扱っている。地域に密着した話題の記事でPVを獲得できる。
- 事故の詳細と運動部の今後の対応についてフォローすることで、継続的にPVを獲得できる。"
N7937,finance,finance-companies,Dean Foods files for bankruptcy,"Dean Foods, America's largest milk producer, is filing for bankruptcy.",https://assets.msn.com/labs/mind/BBWEnS3.html,201316.0,"- ディーンフーズはアメリカ最大の乳製品メーカーであるため、倒産は経済や消費者に大きな影響を与えるニュースとして注目を集めた。大手企業の倒産・事業撤退などのビジネスニュースを取り上げれば再現できる。
- 乳製品市場の変化や消費者の嗜好の変化がディーンフーズの業績悪化に影響したと考えられる。食品業界のトレンド変化に関する記事を作れば再現可能。
- ディーンフーズの倒産は乳製品業界の再編につながる可能性がある。業界の再編・競争環境の変化に関する記事を作れば再現できる。"
N62203,sports,sports_news,Stephen Curry calls out Michael Jordan for being a 'hater',"While the opinion of arguably the greatest NBA player of all time is certainly noteworthy, most people disagree with Jordan.",https://assets.msn.com/labs/mind/BBWEnkS.html,167121.0,"- 著名人の名前をタイトルに使うことで注目を集めている。人気の高い選手や有名人の名前をタイトルに使えばPVを高められる。
- 著名人同士の諍いや対立関係を取り上げている。有名人間の確執や対立を扱った記事で再現可能。
- 著名人の発言を引用している。有名人の過激な発言や論争的なコメントを引用すればPVを高められる。
- 著名人に対する批判的な見解を提示している。著名人への批判的な意見がPVを高める効果がある。"
N10285,finance,finance-saving-investing,4 reasons you shouldn't max out your 401(k),Making high-dollar contributions to your 401(k) can cost you.,https://assets.msn.com/labs/mind/BBWEvuv.html,231569.0,"- 401(k)はアメリカの主要な老後資金であり、多くの人が関心を持つ話題である
- 401(k)への拠出を最大限にするのが最善とされているため、最大化しない理由は注目される
- クリック率の高い見出しで、401(k)への過度な拠出に警告している
- 記事の内容が401(k)の一般的な常識に反するため、読者の関心を引く
- 同様に、一般的な常識に反する個人ファイナンスのアドバイスで再現可能"
N100539,health,nutrition,The Latest Weight Loss Pills That Work And the Ones That Don't,"When diet and exercise aren't working, the answer may be at the drugstore.",https://assets.msn.com/labs/mind/BBWBUaM.html,152073.0,"- タイトルに「最新」「効果あり」といったキーワードを使い、新しい情報を提供している印象を与える。
- 肥満やダイエットに悩む読者の関心を引くタイトルと要約文。同じ課題を抱える読者に共感を呼ぶ。
- 効果的なダイエット法を紹介する記事は需要が高い。新しいサプリメントなどの情報提供が再現の鍵。"
N129969,entertainment,entertainment-celebrity,"Chrissy Teigen's weekend was basically a clapback double-header, plus more news","Chrissy Teigen gives us two more lessons in the art of the clapback. Plus, more celebrity news for Nov. 12, 2019.",https://assets.msn.com/labs/mind/BBWF0Kt.html,187903.0,"- Chrissy Teigenの名前がタイトルにある。有名人の名前をタイトルに使うと注目を集める。
- ""clapback""というキーワードがタイトルと概要にある。SNSでのやり取りや反応に関する記事は注目される。
- ""celebrity news""という人気の高いジャンルだ。最新の有名人ニュースを扱った記事で再現できる。
- 短い概要文で記事の内容を示唆する形式。同じ形式の記事で再現可能。"
N4504,travel,travelarticle,Divers salvage 100-year-old liquor from WWI shipwreck,A team of ocean explorers says it has retrieved cognac and liqueur from a ship that was bound for Russia when it was sunk by a German submarine in 1917.,https://assets.msn.com/labs/mind/BBWF0ep.html,151660.0,"- 海底から100年前の未開封アルコールを発見したというユニークな内容
- 第一次世界大戦時の船の沈没に関する歴史的背景がある
- レアなアルコールを飲用できる可能性に対する期待感がある
- 古代の遺物を発掘する冒険心を刺激する話題
- アルコールや船に関心のある読者を引き付ける"
N27097,news,newscrime,Utah death-row inmate featured in best-selling book dies,"SALT LAKE CITY (AP)   A Utah death-row inmate who killed his brother's wife and her toddler because of his strong polygamist beliefs in a case made famous by the book ""Under the Banner of Heaven"" has died of natural causes, prison officials said Monday. Ron Lafferty, 78, died at the state prison in the Salt Lake City suburb of Draper, Utah Department of Corrections spokeswoman Kaitlin Felsted said. The state attorney general's office had...",https://assets.msn.com/labs/mind/BBWBcpA.html,185111.0,"- 宗教的な信念に基づく残虐な殺人事件というショッキングな内容である
- 有名な本の題材となった著名な事件である
- 死刑囚の死という結末がある
- 短い要約で事件の概要が把握でき、興味を引く"
